@relation myInstances

@attribute f0 numeric
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute label {other,fall}

@data
6.431022,6.431022,6.431022,-6.952974,-6.952974,-6.952974,0.355177,-10.345794,-1.382029,9.168518,18.095425,66.579659,3.027956,4.253872,8.159636,1.881916,2.11807,0.424116,-3.366028,-1.947849,-0.918565,-0.354218,0.428111,-0.18064,3.781195,1.64781,0.166815,1.944529,1.28367,0.40843,other
6.148498,6.148498,6.148498,-5.509226,-5.509226,-5.509226,0.671035,-9.996603,-0.577818,7.676797,15.406202,30.378143,2.770703,3.925074,5.511637,1.804947,1.275687,0.387464,-2.809529,-2.486021,-0.684604,-0.046097,-0.126921,-0.123891,2.662335,1.82398,0.12048,1.631666,1.350548,0.347103,other
5.655277,5.655277,5.655277,-7.11339,-7.11339,-7.11339,0.579787,-10.492856,-1.23377,7.777566,14.034949,51.167431,2.788829,3.746325,7.153141,1.917346,1.333108,0.279341,-3.077088,-1.774363,-1.053567,0.029772,0.342285,-0.156083,3.191819,1.301317,0.18988,1.786566,1.140753,0.435753,other
10.374393,10.374393,10.374393,-19.88924,-19.88924,-19.88924,0.345738,-10.112355,-1.507159,15.359918,18.418842,31.313986,3.919173,4.291718,5.59589,2.026691,1.813859,0.523077,-2.964078,-2.947224,-1.271035,-0.622632,-0.703089,-0.388273,2.823516,2.42468,0.357975,1.680332,1.557138,0.59831,other
5.547535,5.547535,5.547535,-19.041668,-19.041668,-19.041668,0.099761,-9.834963,-1.675407,13.312289,15.833998,86.908112,3.648601,3.979196,9.322452,2.102438,1.9061,0.400904,-2.638487,-1.737711,-0.792727,0.204785,0.23966,-0.149547,3.15008,1.561295,0.1644,1.774846,1.249518,0.405463,other
9.804555,9.804555,9.804555,-17.25075,-17.25075,-17.25075,-0.043469,-10.285831,-1.095248,19.592419,23.512863,57.292053,4.426332,4.849006,7.569151,2.162914,1.231094,1.110729,-2.913377,-2.101176,-1.541037,0.065813,-0.2067,-0.273675,2.671332,1.631943,0.599582,1.634421,1.277475,0.774327,other
5.956956,5.956956,5.956956,-8.382356,-8.382356,-8.382356,0.067091,-9.925814,-0.625112,8.132362,16.428255,32.0686,2.85173,4.053178,5.662914,2.126262,1.509648,0.373415,-2.879779,-1.950292,-0.94972,-0.215979,-0.220566,-0.254494,3.318375,1.70749,0.202621,1.821641,1.30671,0.450134,other
6.759038,6.759038,6.759038,-8.332076,-8.332076,-8.332076,-0.136223,-10.186414,-1.617611,9.101322,10.597071,57.64225,3.01684,3.255314,7.592249,2.158638,0.874349,0.507805,-2.716678,-1.395627,-0.888022,0.187009,0.172403,-0.123402,3.258173,0.484907,0.193266,1.805041,0.696353,0.43962,other
5.973716,5.973716,5.973716,-8.703189,-8.703189,-8.703189,-0.527193,-10.061142,-1.269498,9.171836,15.726275,39.042282,3.028504,3.965637,6.248382,2.330291,1.536526,0.527964,-2.841294,-1.865382,-1.159857,-0.034674,-0.144636,-0.318696,3.795945,1.698707,0.33623,1.948319,1.303344,0.579853,other
6.58665,6.58665,6.58665,-17.775097,-17.775097,-17.775097,0.07949,-10.231082,-1.062526,12.557923,14.664526,31.795292,3.543716,3.829429,5.638731,2.468346,1.719786,0.885931,-2.874281,-1.932577,-0.99981,-0.21213,-0.081839,-0.076671,3.368323,1.459815,0.315653,1.835299,1.208228,0.56183,other
