@relation myInstances

@attribute f0 numeric
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute label {other,fall}

@data
23.672195,23.672195,23.672195,-21.028915,-21.028915,-21.028915,3.025385,-8.213779,2.681116,35.305614,18.83452,11.607468,5.941853,4.339876,3.406973,3.021575,-7.661679,3.478881,0.913782,0.936131,1.826561,-2.034254,-1.470067,-0.411649,-0.529387,-0.060985,0.252911,0.780799,0.553674,0.56368,0.883628,0.744093,0.750786,-0.337881,0.100467,-0.036578,fall
1.704724,1.704724,1.704724,-1.266571,-1.266571,-1.266571,0.5072,4.574378,8.558683,0.393394,0.693491,0.56743,0.627211,0.832761,0.75328,0.69434,4.268992,8.703189,0.868303,0.033623,0.390054,-1.1109,-1.055549,-0.363754,-0.032784,-0.345235,0.102398,0.389519,0.129079,0.053654,0.624115,0.359275,0.231634,-0.088922,-0.36405,0.164034,other
19.448694,19.448694,19.448694,-17.056814,-17.056814,-17.056814,4.047105,0.483591,-3.895043,25.452091,25.377205,66.849426,5.045007,5.037579,8.17615,2.966506,0.418998,-7.539571,1.242764,1.24558,2.926977,-0.862889,-5.096423,-0.846337,0.009671,-1.223843,0.591151,0.389235,4.127699,1.286904,0.623887,2.031674,1.134418,-0.066931,-0.564414,0.251998,other
9.967366,9.967366,9.967366,-7.735902,-7.735902,-7.735902,0.142721,-7.697523,-3.194798,6.966869,28.936201,21.944675,2.639483,5.379238,4.684514,0.154431,-9.263449,-1.763383,0.90129,0.671977,0.792003,-1.923351,-1.068989,-2.16825,0.150537,-0.105776,-0.181044,0.701754,0.395253,0.665503,0.837708,0.628691,0.815784,0.328299,0.042786,-0.193322,other
20.89723,20.89723,20.89723,-1.800495,-1.800495,-1.800495,5.407202,-1.714222,4.34019,23.409784,28.563971,24.456575,4.838366,5.344527,4.945359,4.297723,-0.122108,4.70475,1.198781,2.699439,0.934946,-0.670466,-1.327384,-1.002719,-0.043108,-0.344197,-0.58788,0.507402,1.268095,0.326779,0.712322,1.126097,0.571646,-0.551958,-0.606564,-0.706449,other
16.810204,16.810204,16.810204,-11.083098,-11.083098,-11.083098,-1.217702,-9.108034,-1.050927,20.054865,14.847322,4.110513,4.478266,3.853222,2.02744,-2.413429,-8.729526,-1.199532,1.460843,1.693344,2.142626,-0.223924,-2.207641,-0.806631,0.428664,0.591465,0.31168,0.439037,1.247016,0.829159,0.662599,1.116699,0.910582,0.169474,0.721458,-0.034497,other
3.009604,3.009604,3.009604,-5.303319,-5.303319,-5.303319,-0.866488,-9.68947,-0.490268,2.303883,2.202573,2.837892,1.517855,1.484107,1.684604,-0.785322,-9.555551,-0.416604,0.69665,2.560162,0.720532,-1.613642,-2.087912,-1.031429,-0.131133,0.36966,-0.16846,0.677773,1.723454,0.293893,0.82327,1.312804,0.542119,0.083952,0.092266,-0.197598,other
21.553263,21.553263,21.553263,-3.835628,-3.835628,-3.835628,3.414366,-3.810957,3.370202,31.00202,46.180984,24.368423,5.567946,6.795659,4.936438,1.314457,-5.808511,2.269773,0.523775,3.878409,0.362565,-1.511017,-0.610229,-9.166933,0.00735,1.573553,-2.085233,0.304084,2.344316,7.531057,0.551438,1.531116,2.744277,0.149315,1.879047,-2.132209,other
23.22686,23.22686,23.22686,-10.987327,-10.987327,-10.987327,5.109488,-4.03972,3.058541,45.940376,81.480667,13.323922,6.777933,9.026664,3.650195,3.23706,-4.230683,2.689968,0.875634,0.44107,5.7956,-0.286843,-2.502689,-0.701562,0.175949,-0.653295,0.623893,0.167424,0.691478,3.994891,0.409175,0.831551,1.998722,0.028364,-0.485001,-0.173775,other
1.992037,1.992037,1.992037,-6.062304,-6.062304,-6.062304,-1.928881,-9.221204,-1.437629,2.468668,4.632308,2.93325,1.571199,2.15228,1.712673,-1.716695,-9.581888,-0.89067,1.788877,1.664633,0.947163,-1.416333,-0.494164,-0.048547,0.054203,0.56587,0.322614,0.915319,0.586232,0.145263,0.956723,0.765658,0.381134,-0.183607,0.579126,0.09806,other
4.381523,4.381523,4.381523,-9.122187,-9.122187,-9.122187,-1.38844,-9.569464,-1.123686,7.101539,11.509854,7.337961,2.664871,3.392618,2.708867,-1.316851,-9.380769,-1.039115,1.644713,3.417817,0.080345,-2.355843,-1.07021,-0.573891,0.586328,1.449487,-0.257036,1.692034,1.335683,0.045124,1.300782,1.155718,0.212424,0.740022,1.567506,-0.336265,other
18.395214,18.395214,18.395214,-9.469357,-9.469357,-9.469357,0.530275,-9.498573,-1.094554,26.753891,14.910753,6.066037,5.172416,3.861444,2.462933,-0.466884,-9.727939,-1.177983,1.702134,4.307236,0.342406,-1.755974,-3.420209,-6.918338,-0.069436,0.047551,-1.092577,1.654326,5.582948,4.649144,1.286206,2.362826,2.156187,-0.344264,-0.480725,-0.542737,other
19.407991,19.407991,19.407991,-3.009604,-3.009604,-3.009604,1.857194,2.857922,7.554621,14.031211,18.402321,6.594619,3.745826,4.289793,2.567999,0.93257,4.557502,8.353624,0.226284,4.33778,2.027173,-0.363201,-1.732388,-4.848727,-0.036144,0.170029,-0.324536,0.036312,2.415951,2.972917,0.190557,1.554333,1.724215,0.017368,-0.096491,-0.034497,other
25.178194,25.178194,25.178194,-0.773351,-0.773351,-0.773351,5.701433,0.665981,6.362147,37.571873,13.03341,11.4521,6.12959,3.610181,3.384095,3.071855,2.473286,7.771816,1.019187,2.911409,7.507856,-1.708326,-3.734194,-5.810228,-0.06406,0.287132,-0.187702,0.515507,3.311352,10.532145,0.717988,1.819712,3.245327,0.171306,-0.206447,-0.025945,other
20.710478,20.710478,20.710478,-5.004035,-5.004035,-5.004035,4.851191,-4.383162,2.769942,28.047369,48.696892,21.192341,5.295977,6.978316,4.603514,3.191568,-3.205934,2.803696,2.965404,-0.058617,3.93857,-1.879979,-4.667596,-0.077258,0.663969,-1.818398,1.880565,2.851613,2.021869,2.095307,1.688672,1.421925,1.447518,0.770565,-1.791642,1.550087,other
5.767808,5.767808,5.767808,-8.36799,-8.36799,-8.36799,-1.204292,-9.385758,-1.51225,6.439924,8.241568,7.537187,2.5377,2.870813,2.745394,-1.381497,-9.273026,-1.337203,1.684419,1.023836,0.432204,-2.562927,-0.613283,-1.041814,0.022072,0.133744,-0.117392,1.863989,0.358665,0.257086,1.36528,0.598886,0.507037,0.14565,-0.098324,-0.097417,other
10.755082,10.755082,10.755082,-7.29775,-7.29775,-7.29775,-0.88918,-9.905062,-1.157392,5.985417,5.001225,10.445509,2.446511,2.236342,3.231951,-0.751802,-9.835681,-0.905036,1.235433,0.190005,0.327746,-2.690597,-1.773927,-0.846337,-0.37328,-0.800513,-0.229363,1.744896,0.445194,0.131988,1.320945,0.667229,0.363301,-0.361979,-0.874123,-0.261739,other
